"clause_number","sequence","section","clause_key","heading","opening_words","always_prints","prints_when_plain_english","prints_when_raw_gate","fields_it_asks_for","depends_on","dependency_class","protective_note","keep_cut"
"1.1","1","1. Parties","PARTIES.INTRO","","This Horse Lease Agreement (the ""Agreement"") is made effective as of … by and between … of … (""Lessor"") and …","yes","always","","“Lessor is an” [required] | “Lessee is an” [required]","Cut → the question “Lessor is an” goes with it, and 3 clauses (§2.2, §2.3, §22.3) and 2 questions (“Signing individual — name”, “Signing individual — title”) stop printing for good. | Cut → the question “Lessee is an” goes with it, and 9 clauses (§2.5, §2.6, §11.4, §11.5, §13.21, §13.22, §21.2, §21.3, §22.2) and 2 questions (“Signing individual — name”, “Signing individual — title”) stop printing for good. | Cut → the question “Lessor is an” goes with it, and 1 clause (§2.1) prints in every lease from then on. | Cut → the question “Lessee is an” goes with it, and 2 clauses (§2.4, §21.1) print in every lease from then on. | Cut → the question “Lessee is an” goes with it, and 1 clause (§11.3) falls back on whatever answers remain. | Carries required fields “Lessor is an”, “Lessee is an” — cutting the clause removes them from the signing checks.","DEPENDED-UPON","",""
"2.1","2","2. Definitions; Binding Effect; Third-Party Beneficiaries","DEFINITIONS.LESSOR_PENDING","","[Pending — select whether Lessor is an individual or an entity. This placeholder is replaced by the applicable definition and …","no","“Lessor is an” is left blank","{""equals"":[""""],""field_key"":""LESSOR.PARTY_TYPE""}","— nothing","Turned on by “Lessor is an”, asked in §1.1 — cut that clause and this one prints in every lease from then on.","standalone","",""
"2.2","3","2. Definitions; Binding Effect; Third-Party Beneficiaries","DEFINITIONS.LESSOR_IND","","""Lessor Parties"" means Lessor; Lessor's spouse and family and household members, in each case when handling, caring for, transporting, or …","no","“Lessor is an” is “Individual”","{""any"":[{""equals"":[""INDIVIDUAL""],""field_key"":""LESSOR.PARTY_TYPE""}]}","— nothing","PROTECTIVE. Defines “Lessor Parties”, the group the releases, indemnities and liability cap protect. Cut it (with §2.3) and every protection written in favour of “Lessor Parties” names an undefined group. | Defines “Lessor Parties”, used in §21.2, §21.3, §2.7, §11.23, §13.26, §13.34, §13.35. | Turned on by “Lessor is an”, asked in §1.1 — cut that clause and this one stops printing for good.","PROTECTIVE + DEPENDED-UPON","Defines “Lessor Parties”, the group the releases, indemnities and liability cap protect. Cut it (with §2.3) and every protection written in favour of “Lessor Parties” names an undefined group.",""
"2.3","4","2. Definitions; Binding Effect; Third-Party Beneficiaries","DEFINITIONS.LESSOR_ENT","","""Lessor Parties"" means Lessor; Lessor's parent, subsidiary, and affiliated entities; the owners, principals, proprietors, partners, members, managers, officers, directors, employees, …","no","“Lessor is an” is “Entity / organization”","{""any"":[{""equals"":[""ENTITY""],""field_key"":""LESSOR.PARTY_TYPE""}]}","— nothing","PROTECTIVE. Entity form of the same definition. If entity Lessors are possible at all, cutting this leaves “Lessor Parties” undefined for them. | Defines “Lessor Parties”, used in §21.2, §21.3, §2.7, §11.23, §13.26, §13.34, §13.35. | Turned on by “Lessor is an”, asked in §1.1 — cut that clause and this one stops printing for good.","PROTECTIVE + DEPENDED-UPON","Entity form of the same definition. If entity Lessors are possible at all, cutting this leaves “Lessor Parties” undefined for them.",""
"2.4","5","2. Definitions; Binding Effect; Third-Party Beneficiaries","DEFINITIONS.LESSEE_PENDING","","[Pending — select whether Lessee is an individual or an entity. This placeholder is replaced by the applicable definition and …","no","“Lessee is an” is left blank","{""equals"":[""""],""field_key"":""LESSEE.PARTY_TYPE""}","— nothing","Turned on by “Lessee is an”, asked in §1.1 — cut that clause and this one prints in every lease from then on.","standalone","",""
"2.5","6","2. Definitions; Binding Effect; Third-Party Beneficiaries","DEFINITIONS.LESSEE_IND","","""Lessee Parties"" means Lessee; Lessee's spouse and family and household members, in each case when handling, caring for, transporting, riding, …","no","“Lessee is an” is “Individual”","{""any"":[{""equals"":[""INDIVIDUAL""],""field_key"":""LESSEE.PARTY_TYPE""}]}","— nothing","PROTECTIVE. Defines “Lessee Parties”, the group protected by the Lessor’s mutual release and the Lessee-side indemnity. | Defines “Lessee Parties”, used in §2.7, §11.23, §13.27, §13.34, §13.35. | Turned on by “Lessee is an”, asked in §1.1 — cut that clause and this one stops printing for good.","PROTECTIVE + DEPENDED-UPON","Defines “Lessee Parties”, the group protected by the Lessor’s mutual release and the Lessee-side indemnity.",""
"2.6","7","2. Definitions; Binding Effect; Third-Party Beneficiaries","DEFINITIONS.LESSEE_ENT","","""Lessee Parties"" means Lessee; Lessee's parent, subsidiary, and affiliated entities; the owners, principals, proprietors, partners, members, managers, officers, directors, employees, …","no","“Lessee is an” is “Entity / organization”","{""any"":[{""equals"":[""ENTITY""],""field_key"":""LESSEE.PARTY_TYPE""}]}","— nothing","PROTECTIVE. Entity form of the same definition. | Defines “Lessee Parties”, used in §2.7, §11.23, §13.27, §13.34, §13.35. | Turned on by “Lessee is an”, asked in §1.1 — cut that clause and this one stops printing for good.","PROTECTIVE + DEPENDED-UPON","Entity form of the same definition.",""
"2.7","8","2. Definitions; Binding Effect; Third-Party Beneficiaries","DEFINITIONS.BINDING","","Each release, waiver, assumption of risk, and covenant made by a party under this Agreement is made by that party …","yes","always","","— nothing","PROTECTIVE. Binds heirs, estates, insurers and subrogees to the releases, and adds an indemnity against claims brought by a party’s own family, invitees and authorised riders. This is the clause that stops an insurer suing in the injured rider’s name. | This clause points at §11.23 in prose — names it: “a release satisfying the Releases Required for Authorized Riders provision”.","PROTECTIVE","Binds heirs, estates, insurers and subrogees to the releases, and adds an indemnity against claims brought by a party’s own family, invitees and authorised riders. This is the clause that stops an insurer suing in the injured rider’s name.",""
"2.8","9","2. Definitions; Binding Effect; Third-Party Beneficiaries","DEFINITIONS.BENEFICIARIES","","Each Lessor Party and each Lessee Party who is not a signatory to this Agreement is an intended third-party beneficiary …","yes","always","","— nothing","PROTECTIVE. Lets non-signatory Lessor/Lessee Parties enforce the releases directly. Without it, a released party who did not sign may be unable to rely on the release. | This clause points at §13.26 in prose — makes the releases enforceable by non-signatories. | This clause points at §13.34 in prose — same. | This clause points at §13.35 in prose — same.","PROTECTIVE","Lets non-signatory Lessor/Lessee Parties enforce the releases directly. Without it, a released party who did not sign may be unable to rely on the release.",""
"3.1","10","3. The Horse","HORSE.IDENTITY","Horse Details","This Agreement applies to the following horse (the ""Horse""): … Color: … Markings: … Breed: … Registration Number: … Sex: …","yes","always","","“Registered name” [required] | “Color” | “Markings” | “Breed” | “Registration number” | “Sex” | “Foaling date” | “Fair market value” | “Microchip #” | “Passport #”","Cut → §13.21 (Care, Custody and Control Insurance) renders a blank where `{{HORSE.FAIR_MARKET_VALUE}}` sits mid-sentence. | Cut → §13.35 (Limitation of Liability) renders a blank where `{{HORSE.FAIR_MARKET_VALUE}}` sits mid-sentence. | §4.3 points at this clause in prose — “the horse described below” — the Horse is in fact described above, in §3.1. | §13.21 points at this clause in prose — prints {{HORSE.FAIR_MARKET_VALUE}} as the required death-benefit limit. | §13.35 points at this clause in prose — the cap is {{HORSE.FAIR_MARKET_VALUE}}. | Carries required field “Registered name” — cutting the clause removes it from the signing checks.","DEPENDED-UPON","",""
"3.2","11","3. The Horse","HORSE.OWNERSHIP","Ownership of the Horse","Lessor warrants that Lessor lawfully owns the Horse — whether owned outright, financed without any restriction that prohibits or limits …","yes","always","","— nothing","PROTECTIVE. Lessor’s warranty of clear title and authority to lease. The Lessee’s protection against leasing a horse the Lessor cannot lawfully lease. | §3.19 points at this clause in prose — “Except for the representations expressly stated in this Agreement”. | This clause points at §3.3 in prose — “where there are co-owners” — the co-owner list is the factual basis.","PROTECTIVE + DEPENDED-UPON","Lessor’s warranty of clear title and authority to lease. The Lessee’s protection against leasing a horse the Lessor cannot lawfully lease.",""
"3.3","12","3. The Horse","HORSE.COOWNERS","","Co-owners: …","yes","always","","“Co-owner(s)”","§3.2 points at this clause in prose — “where there are co-owners” — the co-owner list is the factual basis.","DEPENDED-UPON","",""
"3.4","13","3. The Horse","HORSE.OWNERSHIP_LIMITS_Q","","Are there any ownership related leasing restrictions? …","yes","always","","“Any limitations on ownership?”","Cut → the question “Any limitations on ownership?” goes with it, and 1 clause (§3.5) stops printing for good.","DEPENDED-UPON","",""
"3.5","14","3. The Horse","HORSE.OWNERSHIP_LIMITS","","Ownership related leasing restrictions: …","no","“Any limitations on ownership?” is “YES”","{""equals"":[""YES""],""field_key"":""TXN.HAS_OWNERSHIP_LIMITS""}","“Ownership limitations”","Turned on by “Any limitations on ownership?”, asked in §3.4 — cut that clause and this one stops printing for good.","standalone","",""
